Distrito/Barrio,Renta media por persona,Renta media por hogar,Distrito,Seccion
01001,23122,48783,01,001
01002,15211,29753,01,002
01003,17730,35395,01,003
01004,24522,51687,01,004
01006,22679,43546,01,006
01007,19361,38959,01,007
01008,18202,36547,01,008
01009,20673,38262,01,009
01011,17695,34630,01,011
01012,14481,30841,01,012
01013,13656,26371,01,013
01014,15487,31094,01,014
01015,17401,34221,01,015
01016,17786,35399,01,016
01018,17142,34222,01,018
01019,18963,35165,01,019
01020,15947,32170,01,020
01021,16502,34962,01,021
01022,16264,33002,01,022
01023,12289,24616,01,023
01024,14329,27178,01,024
01025,17915,37792,01,025
01026,21151,40701,01,026
01027,18508,37281,01,027
01028,13560,29019,01,028
01029,12806,28301,01,029
01030,11175,24403,01,030
01031,11300,23762,01,031
01032,14504,30616,01,032
01033,12587,24624,01,033
01034,9720,21866,01,034
01035,10767,23972,01,035
01036,12279,24104,01,036
01037,12057,25537,01,037
01038,11560,22999,01,038
01039,12502,24842,01,039
01040,12208,25751,01,040
01041,12242,26888,01,041
01042,11909,26439,01,042
01043,10611,23036,01,043
01045,14136,29409,01,045
01046,13776,28233,01,046
01047,11869,24985,01,047
01048,11147,24079,01,048
01049,11437,22489,01,049
01050,11594,24147,01,050
01051,12011,22516,01,051
01053,14392,27731,01,053
01054,12330,24577,01,054
01055,15246,30184,01,055
01056,15701,32337,01,056
01057,17889,35594,01,057
01058,17366,36496,01,058
01059,15729,30824,01,059
01061,19259,38122,01,061
01062,15773,29164,01,062
01063,17239,33666,01,063
01064,20743,38632,01,064
01065,23056,45695,01,065
01066,14713,28425,01,066
01067,19595,37584,01,067
01068,19951,42276,01,068
01069,16652,29752,01,069
01071,24634,48393,01,071
01072,23513,47058,01,072
01073,30210,63522,01,073
01074,18385,35872,01,074
01075,15241,29469,01,075
01076,16022,31334,01,076
01077,21615,42861,01,077
01079,21778,42018,01,079
01081,16188,31872,01,081
01082,18971,36669,01,082
01084,28149,55876,01,084
01087,28839,65532,01,087
01088,23864,49254,01,088
01089,20836,40872,01,089
01090,19857,39714,01,090
01091,16853,34866,01,091
01092,16114,30398,01,092
01093,15957,31200,01,093
01094,15873,30629,01,094
01095,15261,30169,01,095
01096,13117,26813,01,096
01097,15248,29395,01,097
01098,14535,27917,01,098
01099,15198,28545,01,099
01100,15546,27920,01,100
01101,15553,29990,01,101
01102,14843,28374,01,102
01103,22451,45126,01,103
01104,16302,30667,01,104
01105,19062,32455,01,105
01106,22453,46704,01,106
01107,24998,52940,01,107
01108,21706,45796,01,108
01109,15872,32638,01,109
01110,15376,30638,01,110
01111,16902,33843,01,111
01112,17917,34918,01,112
01113,13854,30364,01,113
01114,15051,30228,01,114
01115,15627,32257,01,115
01116,14874,28797,01,116
01117,16652,33369,01,117
01118,14636,27801,01,118
01119,13480,26161,01,119
01120,17032,32552,01,120
01121,16998,33159,01,121
01123,19377,38472,01,123
01124,18946,39036,01,124
02001,18302,35876,02,001
02002,15768,31976,02,002
02003,18440,45332,02,003
02004,17353,45736,02,004
02005,16058,35981,02,005
02006,18025,44093,02,006
02007,17182,46718,02,007
02008,16792,36545,02,008
02009,22606,54188,02,009
02010,17005,40523,02,010
02011,18181,48135,02,011
02013,18991,41881,02,013
02014,17823,38934,02,014
